year,name,pick,college,seasons,g,ws_48,bpm,vorp
2011,Kyrie Irving,1,Duke,12,671,.166,4.5,37.6
2011,Derrick Williams,2,Arizona,7,428,.076,-1.6,0.8
2011,Enes Freedom,3,,11,748,.157,-0.1,7.6
2011,Tristan Thompson,4,Texas,11,730,.117,-1.7,1.4
2011,Jonas Valančiūnas,5,,11,772,.175,1.0,15.1
2011,Jan Veselý,6,,3,162,.078,-2.6,-0.4
2011,Bismack Biyombo,7,,12,797,.096,-2.5,-2.0
2011,Brandon Knight,8,Kentucky,9,451,.042,-1.6,1.4
2011,Kemba Walker,9,UConn,12,750,.116,2.8,29.8
2011,Jimmer Fredette,10,BYU,6,241,.033,-2.5,-0.4
2011,Klay Thompson,11,Washington State,10,714,.105,0.6,15.8
2011,Alec Burks,12,Colorado,12,676,.088,-0.4,6.2
2011,Markieff Morris,13,Kansas,12,748,.073,-1.4,2.8
2011,Marcus Morris,14,Kansas,12,783,.087,-0.7,7.1
2011,Kawhi Leonard,15,San Diego State,11,626,.220,6.8,43.8
2011,Nikola Vučević,16,USC,12,821,.126,2.2,27.4
2011,Iman Shumpert,17,Georgia Tech,10,461,.054,-1.7,0.9
2011,Chris Singleton,18,Florida State,3,148,.042,-3.2,-0.8
2011,Tobias Harris,19,Tennessee,12,826,.118,1.0,19.9
2011,Donatas Motiejūnas,20,,6,251,.075,-2.5,-0.5
2011,Nolan Smith,21,Duke,2,84,-.047,-6.0,-0.8
2011,Kenneth Faried,22,Morehead State University,8,478,.159,0.5,7.5
2011,Nikola Mirotić,23,,5,319,.129,1.6,7.1
2011,Reggie Jackson,24,Boston College,12,768,.083,-0.3,8.2
2011,MarShon Brooks,25,Providence,5,200,.046,-1.6,0.4
2011,Jordan Hamilton,26,Texas,5,151,.069,-0.1,1.0
2011,JaJuan Johnson,27,Purdue,1,36,.032,-3.9,-0.1
2011,Norris Cole,28,Cleveland State University,6,360,.018,-4.1,-4.1
2011,Cory Joseph,29,Texas,12,788,.084,-1.1,4.0
2011,Jimmy Butler,30,Marquette,12,753,.203,5.0,44.0
2011,Bojan Bogdanović,31,,9,662,.090,-0.7,6.2
